price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,,year_built,year_renovated,city,country
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,,2014,0,Seattle,USA
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,,2009,0,Issaquah,USA
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,,2001,0,Seattle,USA
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,,2007,0,Redmond,USA
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,,2006,0,Issaquah,USA
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,,2008,0,Seattle,USA
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,,2010,0,Issaquah,USA
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,,2005,0,Seattle,USA
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,,2007,0,Renton,USA
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,,2006,0,Issaquah,USA
9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished,,2014,0,Issaquah,USA
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished,,2013,1923,Redmond,USA
9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished,,1971,0,Kirkland,USA
9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished,,1912,2005,Seattle,USA
9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished,,1947,1988,Seattle,USA
9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished,,1985,0,Redmond,USA
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished,,1975,0,Covington,USA
8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished,,1916,1986,Seattle,USA
8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished,,1924,2011,Seattle,USA
8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished,,1942,1999,Seattle,USA
8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished,,1938,0,Seattle,USA
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished,,1962,0,Des Moines,USA
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished,,1987,2000,Issaquah,USA
8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished,,1950,2013,Seattle,USA
8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished,,1940,1996,Seattle,USA
8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished,,1970,2014,Seattle,USA
8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished,,1980,0,Seattle,USA
8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished,,1967,0,Inglewood-Finn Hill,USA
8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,,1952,2008,Seattle,USA
8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,,1954,2005,Shoreline,USA
8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished,,1966,0,Bellevue,USA
8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished,,1924,2011,Kenmore,USA
8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished,,1988,0,Bellevue,USA
8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished,,1958,2004,Des Moines,USA
8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished,,1998,2006,Carnation,USA
8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished,,1963,0,Burien,USA
8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished,,1991,0,Kirkland,USA
7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished,,2003,0,Kent,USA
7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished,,1961,2004,Shoreline,USA
7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished,,1955,2009,Kenmore,USA
7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished,,1980,0,Renton,USA
7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished,,1954,2005,Renton,USA
7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished,,2004,2003,Seattle,USA
7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished,,2007,0,Renton,USA
7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished,,1978,0,Kirkland,USA
7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished,,1967,0,Bellevue,USA
7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished,,1996,0,Kenmore,USA
7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished,,1949,2013,Seattle,USA
7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished,,1979,2014,Federal Way,USA
7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished,,1958,2004,Bellevue,USA
7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished,,2000,0,Redmond,USA
7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished,,1962,2003,Federal Way,USA
7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished,,1940,2001,Seattle,USA
7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished,,1954,2005,Seattle,USA
7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished,,1928,0,Seattle,USA
7350000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished,,1971,0,North Bend,USA
7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished,,1989,0,Sammamish,USA
7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished,,1996,0,Kenmore,USA
7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished,,1977,0,Bellevue,USA
7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished,,1999,0,Sammamish,USA
7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished,,1950,2005,Seattle,USA
7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished,,1987,2000,Sammamish,USA
7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished,,1950,0,Seattle,USA
7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished,,1984,0,Redmond,USA
7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished,,1964,0,Bellevue,USA
6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished,,1995,0,Sammamish,USA
6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished,,1942,1999,Seattle,USA
6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished,,1998,2006,Newcastle,USA
6860000,6000,3,1,1,yes,no,no,no,yes,1,no,furnished,,1965,0,Auburn,USA
6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished,,1962,0,Newcastle,USA
6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished,,1995,0,Woodinville,USA
6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished,,2000,0,Shoreline,USA
6720000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished,,1956,2001,Seattle,USA
6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished,,1926,2003,Seattle,USA
6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished,,1982,0,Seattle,USA
6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished,,1951,1994,Bellevue,USA
6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished,,1976,1992,Auburn,USA
6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished,,1905,2013,Seattle,USA
6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,,1969,2002,Mercer Island,USA
6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished,,1974,0,Federal Way,USA
6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished,,1903,0,Seattle,USA
6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,,2008,0,Seattle,USA
6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished,,1959,0,Federal Way,USA
6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished,,2006,0,Seattle,USA
6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished,,2006,0,Seattle,USA
6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished,,2014,0,Seattle,USA
6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,,2013,1923,Renton,USA
6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished,,2006,0,Seattle,USA
6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished,,2013,1923,Bellevue,USA
6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished,,2008,0,Redmond,USA
6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,,2014,0,Seattle,USA
6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished,,1962,2003,Burien,USA
6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished,,1943,2002,Seattle,USA
6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished,,2003,0,Shoreline,USA
6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished,,2001,0,Redmond,USA
6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,,1994,0,Black Diamond,USA
6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished,,1980,0,Kirkland,USA
6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,,1993,0,Maple Valley,USA
6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished,,1952,2008,Burien,USA
6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished,,1974,0,Renton,USA
6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished,,1946,1989,Seattle,USA
6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished,,1995,0,Ravensdale,USA
6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished,,1938,2003,Seattle,USA
6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished,,1956,0,Kirkland,USA
6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished,,1960,0,Covington,USA
6160000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished,,1973,0,Kent,USA
6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,,1985,0,Redmond,USA
6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished,,1959,0,Bellevue,USA
6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished,,1900,1971,Seattle,USA
6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished,,1994,0,Carnation,USA
6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,,1991,0,Bothell,USA
6090000,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished,,1944,0,Burien,USA
6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished,,1957,2001,Federal Way,USA
6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished,,1910,0,Seattle,USA
6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished,,1904,0,Seattle,USA
6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished,,1988,2000,Carnation,USA
6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished,,1981,2013,Kirkland,USA
5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished,,1967,0,Bellevue,USA
5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished,,1949,0,Seattle,USA
5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,,1988,2000,Renton,USA
5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished,,1929,0,Seattle,USA
5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,,1947,0,Burien,USA
5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished,,1961,2001,Kirkland,USA
5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished,,1991,0,Kent,USA
5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished,,1977,0,Issaquah,USA
5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,,1906,1990,Seattle,USA
5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished,,1921,2000,Seattle,USA
5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished,,1978,0,Seattle,USA
5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished,,1977,2004,Kirkland,USA
5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,,2003,0,Redmond,USA
5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished,,1920,0,Seattle,USA
5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished,,1922,1956,Shoreline,USA
5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,,2011,0,Renton,USA
5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished,,1985,0,Woodinville,USA
5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished,,1950,2005,Clyde Hill,USA
5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished,,1955,2005,Seattle,USA
5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished,,1905,2013,Seattle,USA
5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished,,1963,2008,Seattle,USA
5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,,1967,0,Federal Way,USA
5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished,,1988,2000,Issaquah,USA
5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished,,2002,0,Renton,USA
5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished,,1917,0,Seattle,USA
5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished,,1913,1983,Seattle,USA
5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished,,1978,0,Redmond,USA
5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished,,1985,0,Renton,USA
5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished,,1914,1945,Seattle,USA
5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished,,1937,1990,Seattle,USA
5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished,,1987,0,Issaquah,USA
5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished,,1985,0,Kent,USA
5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished,,1968,0,Renton,USA
5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished,,1944,0,Seattle,USA
5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished,,1956,2001,Algona,USA
5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished,,1948,1984,Lake Forest Park,USA
5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished,,1968,0,Woodinville,USA
5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished,,2000,0,Auburn,USA
5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished,,1947,1988,Seattle,USA
5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished,,1910,2006,Seattle,USA
5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished,,1985,0,Issaquah,USA
5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished,,1905,0,Seattle,USA
5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished,,1912,0,Kent,USA
5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished,,1960,2012,Federal Way,USA
5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished,,1988,2000,Covington,USA
5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished,,1958,0,Seattle,USA
5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished,,1968,1997,Kenmore,USA
5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished,,1942,1982,Seattle,USA
5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished,,1961,2001,Shoreline,USA
5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished,,1990,2009,Maple Valley,USA
5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished,,1954,1979,Seattle,USA
5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished,,1969,2010,Burien,USA
5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished,,2005,0,Seattle,USA
5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished,,2007,0,Kirkland,USA
5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,,2006,0,Kirkland,USA
5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished,,2008,0,Seattle,USA
5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished,,2014,0,Auburn,USA
5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished,,2008,0,Seattle,USA
5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished,,2009,0,Seattle,USA
5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished,,2006,0,Seattle,USA
5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished,,1946,1989,Seattle,USA
5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished,,2012,1912,Duvall,USA
5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished,,1971,0,Mercer Island,USA
5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished,,1977,2004,Federal Way,USA
5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished,,1967,2011,Seattle,USA
5145000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished,,2005,0,Sammamish,USA
5145000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished,,1968,0,Mercer Island,USA
5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished,,1900,1971,Seattle,USA
5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,,2002,0,Algona,USA
5110000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished,,2003,0,Issaquah,USA
5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished,,1922,2003,Skykomish,USA
5075000,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished,,1977,0,Kirkland,USA
5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished,,1955,2005,Seattle,USA
5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished,,1997,0,Seattle,USA
5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished,,2006,0,Redmond,USA
5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished,,1962,2003,Kent,USA
5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,,1994,0,Kent,USA
5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished,,1973,2013,Issaquah,USA
4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished,,1928,0,Seattle,USA
4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,,1989,0,Kent,USA
4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,,2004,2003,Kent,USA
4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,,1947,1988,Normandy Park,USA
4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished,,1910,0,Seattle,USA
4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,,1980,0,Redmond,USA
4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished,,1975,0,Kent,USA
4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,,1926,2003,Seattle,USA
4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished,,1954,1979,Seattle,USA
4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished,,1950,2005,Bellevue,USA
4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,,1975,0,Kent,USA
4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,,1980,0,Auburn,USA
4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,,1993,0,Federal Way,USA
4900000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished,,1944,0,Seattle,USA
4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished,,1940,2001,Kent,USA
4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished,,1923,0,Seattle,USA
4900000,12900,3,1,1,yes,no,no,no,no,2,no,furnished,,1993,0,Seattle,USA
4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,,2002,0,Sammamish,USA
4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,,1965,1993,Seattle,USA
4865000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished,,1948,0,Seattle,USA
4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,,1967,2011,Redmond,USA
4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,,1973,0,Bellevue,USA
4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished,,1906,1990,Seattle,USA
4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished,,1925,0,Seattle,USA
4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,,2004,2003,Woodinville,USA
4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished,,1952,0,Bellevue,USA
4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished,,2008,0,Renton,USA
4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished,,1930,0,Seattle,USA
4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished,,1954,2005,Woodinville,USA
4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,,1939,1969,Seattle,USA
4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished,,2002,0,Tukwila,USA
4690000,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished,,1976,1992,Redmond,USA
4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished,,1932,2002,Seattle,USA
4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished,,1991,0,Kirkland,USA
4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,,1918,0,Seattle,USA
4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished,,1989,0,Federal Way,USA
4690000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,,1967,2010,Renton,USA
4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished,,1955,2009,Des Moines,USA
4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished,,1940,0,Burien,USA
4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,,1990,0,Mercer Island,USA
